AFFYMETRIX_3PRIME_IVT_ID	Name	Species	name_abbr
11723307_a_at	acetyl-CoA carboxylase alpha(ACACA)	Homo sapiens	ACACA
11718264_a_at	acetyl-CoA carboxylase alpha(ACACA)	Homo sapiens	ACACA
11754514_a_at	acetyl-CoA carboxylase alpha(ACACA)	Homo sapiens	ACACA
11720885_at	acetyl-CoA carboxylase beta(ACACB)	Homo sapiens	ACACB
11750636_a_at	acetyl-CoA carboxylase beta(ACACB)	Homo sapiens	ACACB
11744991_a_at	acetyl-CoA carboxylase beta(ACACB)	Homo sapiens	ACACB
11749358_a_at	acyl-CoA dehydrogenase long chain(ACADL)	Homo sapiens	ACADL
11757912_a_at	acyl-CoA dehydrogenase long chain(ACADL)	Homo sapiens	ACADL
11761556_at	acyl-CoA dehydrogenase long chain(ACADL)	Homo sapiens	ACADL
11729965_at	acyl-CoA dehydrogenase long chain(ACADL)	Homo sapiens	ACADL
11747346_x_at	acyl-CoA dehydrogenase medium chain(ACADM)	Homo sapiens	ACADM
11722357_a_at	acyl-CoA dehydrogenase medium chain(ACADM)	Homo sapiens	ACADM
11746834_a_at	acyl-CoA dehydrogenase medium chain(ACADM)	Homo sapiens	ACADM
11747344_a_at	acyl-CoA dehydrogenase medium chain(ACADM)	Homo sapiens	ACADM
11757536_s_at	acyl-CoA dehydrogenase medium chain(ACADM)	Homo sapiens	ACADM
11747345_s_at	acyl-CoA dehydrogenase medium chain(ACADM)	Homo sapiens	ACADM
11752919_x_at	acyl-CoA dehydrogenase medium chain(ACADM)	Homo sapiens	ACADM
11744183_a_at	acyl-CoA dehydrogenase short chain(ACADS)	Homo sapiens	ACADS
11749885_a_at	acyl-CoA dehydrogenase short chain(ACADS)	Homo sapiens	ACADS
11748196_a_at	acyl-CoA dehydrogenase short/branched chain(ACADSB)	Homo sapiens	ACADSB
11718312_at	acyl-CoA dehydrogenase short/branched chain(ACADSB)	Homo sapiens	ACADSB
11745737_x_at	acyl-CoA dehydrogenase very long chain(ACADVL)	Homo sapiens	ACADVL
11744255_a_at	acyl-CoA dehydrogenase very long chain(ACADVL)	Homo sapiens	ACADVL
11745736_a_at	acyl-CoA dehydrogenase very long chain(ACADVL)	Homo sapiens	ACADVL
11761280_at	acetyl-CoA acetyltransferase 1(ACAT1)	Homo sapiens	ACAT1
11742973_at	acetyl-CoA acetyltransferase 1(ACAT1)	Homo sapiens	ACAT1
11722601_a_at	acetyl-CoA acetyltransferase 2(ACAT2)	Homo sapiens	ACAT2
11746010_x_at	acetyl-CoA acetyltransferase 2(ACAT2)	Homo sapiens	ACAT2
11746009_a_at	acetyl-CoA acetyltransferase 2(ACAT2)	Homo sapiens	ACAT2
11743961_a_at	consortin, connexin sorting protein(CNST)	Homo sapiens	CNST
11743962_at	consortin, connexin sorting protein(CNST)	Homo sapiens	CNST
11731306_a_at	consortin, connexin sorting protein(CNST)	Homo sapiens	CNST
11743963_a_at	consortin, connexin sorting protein(CNST)	Homo sapiens	CNST
11736560_a_at	acid sensing ion channel subunit 2(ASIC2)	Homo sapiens	ASIC2
11729524_a_at	acid sensing ion channel subunit 2(ASIC2)	Homo sapiens	ASIC2
11746958_s_at	acid sensing ion channel subunit 1(ASIC1)	Homo sapiens	ASIC1
11729959_a_at	acid sensing ion channel subunit 1(ASIC1)	Homo sapiens	ASIC1
11752092_s_at	acid sensing ion channel subunit 1(ASIC1)	Homo sapiens	ASIC1
11733280_a_at	acetylcholinesterase (Cartwright blood group)(ACHE)	Homo sapiens	Cartwright blood group
11733279_a_at	acetylcholinesterase (Cartwright blood group)(ACHE)	Homo sapiens	Cartwright blood group
11720773_x_at	DnaJ heat shock protein family (Hsp40) member C19(DNAJC19)	Homo sapiens	Hsp40
11720774_s_at	DnaJ heat shock protein family (Hsp40) member C19(DNAJC19)	Homo sapiens	Hsp40
11720620_s_at	ATP citrate lyase(ACLY)	Homo sapiens	ACLY
11720621_s_at	ATP citrate lyase(ACLY)	Homo sapiens	ACLY
11743758_a_at	aconitase 1(ACO1)	Homo sapiens	ACO1
11755357_s_at	aconitase 1(ACO1)	Homo sapiens	ACO1
11764092_at	aconitase 1(ACO1)	Homo sapiens	ACO1
11735563_s_at	acrosin(ACR)	Homo sapiens	ACR
11752649_s_at	aconitase 2(ACO2)	Homo sapiens	ACO2
11743048_s_at	aconitase 2(ACO2)	Homo sapiens	ACO2
11726323_a_at	acyl-CoA oxidase 1(ACOX1)	Homo sapiens	ACOX1
11750711_a_at	acyl-CoA oxidase 1(ACOX1)	Homo sapiens	ACOX1
11726322_at	acyl-CoA oxidase 1(ACOX1)	Homo sapiens	ACOX1
11741529_at	acid phosphatase 1(ACP1)	Homo sapiens	ACP1
11717156_s_at	acid phosphatase 1(ACP1)	Homo sapiens	ACP1
11741528_a_at	acid phosphatase 1(ACP1)	Homo sapiens	ACP1
11717157_a_at	acid phosphatase 1(ACP1)	Homo sapiens	ACP1
11749255_x_at	acid phosphatase 2, lysosomal(ACP2)	Homo sapiens	ACP2
11762331_at	acid phosphatase 2, lysosomal(ACP2)	Homo sapiens	ACP2
11720913_a_at	acid phosphatase 2, lysosomal(ACP2)	Homo sapiens	ACP2
11757010_x_at	acid phosphatase 2, lysosomal(ACP2)	Homo sapiens	ACP2
11756712_a_at	acid phosphatase 2, lysosomal(ACP2)	Homo sapiens	ACP2
11741194_x_at	acid phosphatase 2, lysosomal(ACP2)	Homo sapiens	ACP2
11720914_x_at	acid phosphatase 2, lysosomal(ACP2)	Homo sapiens	ACP2
11741193_a_at	acid phosphatase 2, lysosomal(ACP2)	Homo sapiens	ACP2
11748517_a_at	acid phosphatase 2, lysosomal(ACP2)	Homo sapiens	ACP2
11717981_a_at	acid phosphatase 5, tartrate resistant(ACP5)	Homo sapiens	ACP5
11739050_s_at	acid phosphatase 3(ACP3)	Homo sapiens	ACP3
11729013_at	acid phosphatase 3(ACP3)	Homo sapiens	ACP3
11739049_at	acid phosphatase 3(ACP3)	Homo sapiens	ACP3
11739048_at	acid phosphatase 3(ACP3)	Homo sapiens	ACP3
11748861_a_at	acid phosphatase 3(ACP3)	Homo sapiens	ACP3
11732536_a_at	acrosomal vesicle protein 1(ACRV1)	Homo sapiens	ACRV1
11743108_a_at	actin alpha 1, skeletal muscle(ACTA1)	Homo sapiens	ACTA1
11753504_x_at	actin alpha 1, skeletal muscle(ACTA1)	Homo sapiens	ACTA1
11743109_x_at	actin alpha 1, skeletal muscle(ACTA1)	Homo sapiens	ACTA1
11758869_at	actin alpha 2, smooth muscle(ACTA2)	Homo sapiens	ACTA2
11760186_at	actin alpha 2, smooth muscle(ACTA2)	Homo sapiens	ACTA2
11722352_s_at	actin alpha 2, smooth muscle(ACTA2)	Homo sapiens	ACTA2
11756071_x_at	actin beta(ACTB)	Homo sapiens	ACTB
11752865_x_at	actin beta(ACTB)	Homo sapiens	ACTB
AFFX-HSAC07/X00351_3_at	actin beta(ACTB)	Homo sapiens	ACTB
11720754_x_at	actin beta(ACTB)	Homo sapiens	ACTB
AFFX-HSAC07/X00351_M_at	actin beta(ACTB)	Homo sapiens	ACTB
AFFX-HSAC07/X00351_5_at	actin beta(ACTB)	Homo sapiens	ACTB
11720489_a_at	actin alpha cardiac muscle 1(ACTC1)	Homo sapiens	ACTC1
11720490_at	actin alpha cardiac muscle 1(ACTC1)	Homo sapiens	ACTC1
11762785_x_at	actin gamma 1(ACTG1)	Homo sapiens	ACTG1
11754217_x_at	actin gamma 1(ACTG1)	Homo sapiens	ACTG1
11752959_x_at	actin gamma 1(ACTG1)	Homo sapiens	ACTG1
11757807_x_at	actin gamma 1(ACTG1)	Homo sapiens	ACTG1
11758042_x_at	actin gamma 1(ACTG1)	Homo sapiens	ACTG1
11762137_x_at	actin gamma 2, smooth muscle(ACTG2)	Homo sapiens	ACTG2
11748016_a_at	actin gamma 2, smooth muscle(ACTG2)	Homo sapiens	ACTG2
11715793_a_at	actin gamma 2, smooth muscle(ACTG2)	Homo sapiens	ACTG2
11715794_x_at	actin gamma 2, smooth muscle(ACTG2)	Homo sapiens	ACTG2
11762136_at	actin gamma 2, smooth muscle(ACTG2)	Homo sapiens	ACTG2
11742137_at	otolin 1(OTOL1)	Homo sapiens	OTOL1
11747454_a_at	actinin alpha 4(ACTN4)	Homo sapiens	ACTN4
11747074_x_at	actinin alpha 4(ACTN4)	Homo sapiens	ACTN4
11715861_a_at	actinin alpha 4(ACTN4)	Homo sapiens	ACTN4
11753902_a_at	actinin alpha 4(ACTN4)	Homo sapiens	ACTN4
11747073_a_at	actinin alpha 4(ACTN4)	Homo sapiens	ACTN4
11720784_a_at	actin like 6A(ACTL6A)	Homo sapiens	ACTL6A
11728374_s_at	actinin alpha 1(ACTN1)	Homo sapiens	ACTN1
11743970_x_at	actinin alpha 1(ACTN1)	Homo sapiens	ACTN1
11760111_at	actinin alpha 1(ACTN1)	Homo sapiens	ACTN1
11751116_a_at	actinin alpha 1(ACTN1)	Homo sapiens	ACTN1
11743969_s_at	actinin alpha 1(ACTN1)	Homo sapiens	ACTN1
11751117_x_at	actinin alpha 1(ACTN1)	Homo sapiens	ACTN1
11728375_x_at	actinin alpha 1(ACTN1)	Homo sapiens	ACTN1
11751575_a_at	actinin alpha 2(ACTN2)	Homo sapiens	ACTN2
11734001_at	actinin alpha 2(ACTN2)	Homo sapiens	ACTN2
11734003_at	actinin alpha 2(ACTN2)	Homo sapiens	ACTN2
11758470_s_at	actinin alpha 2(ACTN2)	Homo sapiens	ACTN2
11734002_a_at	actinin alpha 2(ACTN2)	Homo sapiens	ACTN2
11749692_a_at	actinin alpha 2(ACTN2)	Homo sapiens	ACTN2
11730995_a_at	actinin alpha 3(ACTN3)	Homo sapiens	ACTN3
11718648_s_at	activin A receptor type 1(ACVR1)	Homo sapiens	ACVR1
11747841_a_at	activin A receptor type 1(ACVR1)	Homo sapiens	ACVR1
11718647_at	activin A receptor type 1(ACVR1)	Homo sapiens	ACVR1
11753358_a_at	activin A receptor type 1(ACVR1)	Homo sapiens	ACVR1
11720439_at	activin A receptor type 1B(ACVR1B)	Homo sapiens	ACVR1B
11738855_a_at	activin A receptor type 1B(ACVR1B)	Homo sapiens	ACVR1B
11720438_a_at	activin A receptor type 1B(ACVR1B)	Homo sapiens	ACVR1B
11720437_at	activin A receptor type 1B(ACVR1B)	Homo sapiens	ACVR1B
11738852_a_at	activin A receptor type 1B(ACVR1B)	Homo sapiens	ACVR1B
11752492_a_at	activin A receptor type 2A(ACVR2A)	Homo sapiens	ACVR2A
11727163_a_at	activin A receptor type 2A(ACVR2A)	Homo sapiens	ACVR2A
11727164_at	activin A receptor type 2A(ACVR2A)	Homo sapiens	ACVR2A
11727681_a_at	activin A receptor type 2B(ACVR2B)	Homo sapiens	ACVR2B
11727682_at	activin A receptor type 2B(ACVR2B)	Homo sapiens	ACVR2B
11747260_a_at	activin A receptor like type 1(ACVRL1)	Homo sapiens	ACVRL1
11721573_a_at	activin A receptor like type 1(ACVRL1)	Homo sapiens	ACVRL1
11732574_at	family with sequence similarity 43 member B(FAM43B)	Homo sapiens	FAM43B
11761880_at	aminoacylase 1(ACY1)	Homo sapiens	ACY1
11728974_a_at	acylphosphatase 1(ACYP1)	Homo sapiens	ACYP1
11735240_a_at	acylphosphatase 2(ACYP2)	Homo sapiens	ACYP2
11718788_a_at	adenosine deaminase(ADA)	Homo sapiens	ADA
11758337_s_at	adenosine deaminase(ADA)	Homo sapiens	ADA
11761343_a_at	ADAM metallopeptidase domain 8(ADAM8)	Homo sapiens	ADAM8
11722225_a_at	ADAM metallopeptidase domain 8(ADAM8)	Homo sapiens	ADAM8
11748653_x_at	ADAM metallopeptidase domain 8(ADAM8)	Homo sapiens	ADAM8
11748684_a_at	ADAM metallopeptidase domain 8(ADAM8)	Homo sapiens	ADAM8
11736028_x_at	ADAM metallopeptidase domain 10(ADAM10)	Homo sapiens	ADAM10
11736026_at	ADAM metallopeptidase domain 10(ADAM10)	Homo sapiens	ADAM10
11751180_a_at	ADAM metallopeptidase domain 10(ADAM10)	Homo sapiens	ADAM10
11736027_a_at	ADAM metallopeptidase domain 10(ADAM10)	Homo sapiens	ADAM10
11741115_s_at	CYP3A7-CYP3A51P readthrough(CYP3A7-CYP3A51P)	Homo sapiens	CYP3A7-CYP3A51P
11762699_x_at	CYP3A7-CYP3A51P readthrough(CYP3A7-CYP3A51P)	Homo sapiens	CYP3A7-CYP3A51P
11762698_at	CYP3A7-CYP3A51P readthrough(CYP3A7-CYP3A51P)	Homo sapiens	CYP3A7-CYP3A51P
11741720_s_at	adenosine deaminase RNA specific(ADAR)	Homo sapiens	ADAR
11741719_a_at	adenosine deaminase RNA specific(ADAR)	Homo sapiens	ADAR
11739022_a_at	adenosine deaminase RNA specific(ADAR)	Homo sapiens	ADAR
11739021_a_at	adenosine deaminase RNA specific(ADAR)	Homo sapiens	ADAR
11739023_a_at	adenosine deaminase RNA specific(ADAR)	Homo sapiens	ADAR
11739024_s_at	adenosine deaminase RNA specific(ADAR)	Homo sapiens	ADAR
11718017_a_at	adenosine deaminase RNA specific B1(ADARB1)	Homo sapiens	ADARB1
11718018_a_at	adenosine deaminase RNA specific B1(ADARB1)	Homo sapiens	ADARB1
11751915_a_at	adenosine deaminase RNA specific B1(ADARB1)	Homo sapiens	ADARB1
11718016_a_at	adenosine deaminase RNA specific B1(ADARB1)	Homo sapiens	ADARB1
11718019_x_at	adenosine deaminase RNA specific B1(ADARB1)	Homo sapiens	ADARB1
11745637_a_at	adenosine deaminase RNA specific B2 (inactive)(ADARB2)	Homo sapiens	inactive
11745995_x_at	adenosine deaminase RNA specific B2 (inactive)(ADARB2)	Homo sapiens	inactive
11737459_a_at	adenosine deaminase RNA specific B2 (inactive)(ADARB2)	Homo sapiens	inactive
11756014_a_at	adenosine deaminase RNA specific B2 (inactive)(ADARB2)	Homo sapiens	inactive
11737460_x_at	adenosine deaminase RNA specific B2 (inactive)(ADARB2)	Homo sapiens	inactive
11721898_at	FAM3 metabolism regulating signaling molecule D(FAM3D)	Homo sapiens	FAM3D
11722266_at	adenylate cyclase 1(ADCY1)	Homo sapiens	ADCY1
11720996_at	adenylate cyclase 2(ADCY2)	Homo sapiens	ADCY2
11720995_at	adenylate cyclase 2(ADCY2)	Homo sapiens	ADCY2
11756795_a_at	adenylate cyclase 2(ADCY2)	Homo sapiens	ADCY2
11720997_a_at	adenylate cyclase 2(ADCY2)	Homo sapiens	ADCY2
11716872_a_at	adenylate cyclase 3(ADCY3)	Homo sapiens	ADCY3
11760725_x_at	PINK1 antisense RNA(PINK1-AS)	Homo sapiens	PINK1-AS
11740037_a_at	adenylate cyclase 5(ADCY5)	Homo sapiens	ADCY5
11716725_a_at	adenylate cyclase 6(ADCY6)	Homo sapiens	ADCY6
11761681_a_at	adenylate cyclase 6(ADCY6)	Homo sapiens	ADCY6
11746079_a_at	adenylate cyclase 7(ADCY7)	Homo sapiens	ADCY7
11755534_a_at	adenylate cyclase 7(ADCY7)	Homo sapiens	ADCY7
11720747_a_at	adenylate cyclase 7(ADCY7)	Homo sapiens	ADCY7
11733501_a_at	adenylate cyclase 8(ADCY8)	Homo sapiens	ADCY8
11721065_at	adenylate cyclase 9(ADCY9)	Homo sapiens	ADCY9
11721066_at	adenylate cyclase 9(ADCY9)	Homo sapiens	ADCY9
11758076_s_at	adenylate cyclase 9(ADCY9)	Homo sapiens	ADCY9
11738170_a_at	adenylate cyclase activating polypeptide 1(ADCYAP1)	Homo sapiens	ADCYAP1
11729962_a_at	adenylate cyclase activating polypeptide 1(ADCYAP1)	Homo sapiens	ADCYAP1
11729961_a_at	adenylate cyclase activating polypeptide 1(ADCYAP1)	Homo sapiens	ADCYAP1
11759188_at	ADCYAP receptor type I(ADCYAP1R1)	Homo sapiens	ADCYAP1R1
11756052_a_at	ADCYAP receptor type I(ADCYAP1R1)	Homo sapiens	ADCYAP1R1
11745147_a_at	ADCYAP receptor type I(ADCYAP1R1)	Homo sapiens	ADCYAP1R1
11716515_x_at	adducin 1(ADD1)	Homo sapiens	ADD1
11716517_x_at	adducin 1(ADD1)	Homo sapiens	ADD1
11716514_s_at	adducin 1(ADD1)	Homo sapiens	ADD1
11747763_a_at	adducin 1(ADD1)	Homo sapiens	ADD1
11716516_a_at	adducin 1(ADD1)	Homo sapiens	ADD1
11743001_a_at	adducin 2(ADD2)	Homo sapiens	ADD2
11727337_a_at	adducin 2(ADD2)	Homo sapiens	ADD2
11760876_at	adducin 2(ADD2)	Homo sapiens	ADD2
11726781_a_at	adducin 2(ADD2)	Homo sapiens	ADD2
11748743_a_at	adducin 2(ADD2)	Homo sapiens	ADD2
11748744_x_at	adducin 2(ADD2)	Homo sapiens	ADD2
11757448_s_at	adducin 3(ADD3)	Homo sapiens	ADD3
11717348_a_at	adducin 3(ADD3)	Homo sapiens	ADD3
11717346_a_at	adducin 3(ADD3)	Homo sapiens	ADD3
11717347_s_at	adducin 3(ADD3)	Homo sapiens	ADD3
11721606_a_at	adducin 3(ADD3)	Homo sapiens	ADD3
11742746_a_at	perilipin 2(PLIN2)	Homo sapiens	PLIN2
11742745_a_at	perilipin 2(PLIN2)	Homo sapiens	PLIN2
11728639_x_at	alcohol dehydrogenase 1A (class I), alpha polypeptide(ADH1A)	Homo sapiens	class I
11722994_s_at	alcohol dehydrogenase 1A (class I), alpha polypeptide(ADH1A)	Homo sapiens	class I
11728638_at	alcohol dehydrogenase 1A (class I), alpha polypeptide(ADH1A)	Homo sapiens	class I
11747167_x_at	alcohol dehydrogenase 1B (class I), beta polypeptide(ADH1B)	Homo sapiens	class I
11758877_at	alcohol dehydrogenase 1B (class I), beta polypeptide(ADH1B)	Homo sapiens	class I
11746322_x_at	alcohol dehydrogenase 1B (class I), beta polypeptide(ADH1B)	Homo sapiens	class I
11722995_at	alcohol dehydrogenase 1B (class I), beta polypeptide(ADH1B)	Homo sapiens	class I
11746898_x_at	alcohol dehydrogenase 1B (class I), beta polypeptide(ADH1B)	Homo sapiens	class I
11730779_at	alcohol dehydrogenase 1C (class I), gamma polypeptide(ADH1C)	Homo sapiens	class I
11730780_x_at	alcohol dehydrogenase 1C (class I), gamma polypeptide(ADH1C)	Homo sapiens	class I
11754277_a_at	alcohol dehydrogenase 4 (class II), pi polypeptide(ADH4)	Homo sapiens	class II
11716392_s_at	alcohol dehydrogenase 5 (class III), chi polypeptide(ADH5)	Homo sapiens	class III
11716394_x_at	alcohol dehydrogenase 5 (class III), chi polypeptide(ADH5)	Homo sapiens	class III
11716393_x_at	alcohol dehydrogenase 5 (class III), chi polypeptide(ADH5)	Homo sapiens	class III
11758757_at	alcohol dehydrogenase 5 (class III), chi polypeptide(ADH5)	Homo sapiens	class III
11751669_a_at	alcohol dehydrogenase 6 (class V)(ADH6)	Homo sapiens	class V
11735686_a_at	alcohol dehydrogenase 6 (class V)(ADH6)	Homo sapiens	class V
11744437_a_at	alcohol dehydrogenase 6 (class V)(ADH6)	Homo sapiens	class V
11755742_a_at	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide(ADH7)	Homo sapiens	class IV
11728753_at	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide(ADH7)	Homo sapiens	class IV
11741777_x_at	polyamine oxidase(PAOX)	Homo sapiens	PAOX
11753732_a_at	polyamine oxidase(PAOX)	Homo sapiens	PAOX
11742127_a_at	polyamine oxidase(PAOX)	Homo sapiens	PAOX
11721408_a_at	polyamine oxidase(PAOX)	Homo sapiens	PAOX
11753581_a_at	polyamine oxidase(PAOX)	Homo sapiens	PAOX
11753733_x_at	polyamine oxidase(PAOX)	Homo sapiens	PAOX
11746331_a_at	adenosine kinase(ADK)	Homo sapiens	ADK
11741123_x_at	adenosine kinase(ADK)	Homo sapiens	ADK
11756406_x_at	adrenomedullin(ADM)	Homo sapiens	ADM
11753618_a_at	adrenomedullin(ADM)	Homo sapiens	ADM
11716710_a_at	adrenomedullin(ADM)	Homo sapiens	ADM
11726657_a_at	adenosine A1 receptor(ADORA1)	Homo sapiens	ADORA1
11747699_a_at	adenosine A1 receptor(ADORA1)	Homo sapiens	ADORA1
11726658_a_at	adenosine A1 receptor(ADORA1)	Homo sapiens	ADORA1
11739623_at	V-set and transmembrane domain containing 4(VSTM4)	Homo sapiens	VSTM4
11738345_at	V-set and transmembrane domain containing 4(VSTM4)	Homo sapiens	VSTM4
11739621_at	V-set and transmembrane domain containing 4(VSTM4)	Homo sapiens	VSTM4
11739620_at	V-set and transmembrane domain containing 4(VSTM4)	Homo sapiens	VSTM4
11739622_at	V-set and transmembrane domain containing 4(VSTM4)	Homo sapiens	VSTM4
11741056_a_at	adenosine A2b receptor(ADORA2B)	Homo sapiens	ADORA2B
11726823_at	adenosine A3 receptor(ADORA3)	Homo sapiens	ADORA3
11726465_a_at	adenosine A3 receptor(ADORA3)	Homo sapiens	ADORA3
11756143_s_at	ADP-ribosylarginine hydrolase(ADPRH)	Homo sapiens	ADPRH
11756142_a_at	ADP-ribosylarginine hydrolase(ADPRH)	Homo sapiens	ADPRH
11751283_a_at	ADP-ribosylarginine hydrolase(ADPRH)	Homo sapiens	ADPRH
11726248_x_at	poly(ADP-ribose) polymerase 1(PARP1)	Homo sapiens	ADP-ribose
11745950_a_at	poly(ADP-ribose) polymerase 1(PARP1)	Homo sapiens	ADP-ribose
11726249_a_at	poly(ADP-ribose) polymerase 1(PARP1)	Homo sapiens	ADP-ribose
11726247_s_at	poly(ADP-ribose) polymerase 1(PARP1)	Homo sapiens	ADP-ribose
11746396_a_at	poly(ADP-ribose) polymerase family member 4(PARP4)	Homo sapiens	ADP-ribose
11718382_x_at	poly(ADP-ribose) polymerase family member 4(PARP4)	Homo sapiens	ADP-ribose
11740619_at	adrenoceptor alpha 1D(ADRA1D)	Homo sapiens	ADRA1D
11740618_at	adrenoceptor alpha 1D(ADRA1D)	Homo sapiens	ADRA1D
11737368_at	adrenoceptor alpha 1B(ADRA1B)	Homo sapiens	ADRA1B
11738641_a_at	adrenoceptor alpha 1A(ADRA1A)	Homo sapiens	ADRA1A
11762652_at	adrenoceptor alpha 1A(ADRA1A)	Homo sapiens	ADRA1A
11738830_x_at	adrenoceptor alpha 1A(ADRA1A)	Homo sapiens	ADRA1A
11762404_at	adrenoceptor alpha 1A(ADRA1A)	Homo sapiens	ADRA1A
11738842_a_at	adrenoceptor alpha 1A(ADRA1A)	Homo sapiens	ADRA1A
11762439_at	adrenoceptor alpha 1A(ADRA1A)	Homo sapiens	ADRA1A
11722112_at	adrenoceptor alpha 2A(ADRA2A)	Homo sapiens	ADRA2A
11737497_at	adrenoceptor alpha 2B(ADRA2B)	Homo sapiens	ADRA2B
11728580_x_at	adrenoceptor alpha 2C(ADRA2C)	Homo sapiens	ADRA2C
11756359_s_at	adrenoceptor alpha 2C(ADRA2C)	Homo sapiens	ADRA2C
11729004_at	adrenoceptor beta 1(ADRB1)	Homo sapiens	ADRB1
11729003_at	adrenoceptor beta 1(ADRB1)	Homo sapiens	ADRB1
