gene_symbol	ID	logFC
STC1	11724196_s_at	-1.2220991356951671
INHBA	11746931_a_at	-1.2262087494173137
ADGRF5	11742862_a_at	-1.2321625827747678
NR4A3	11729058_s_at	-1.2332241250038987
CXCL5	11728717_at	-1.2413466852210426
ADGRF5	11742861_x_at	-1.2450297481215227
ADGRF5	11741561_a_at	-1.2535813534135976
CYR61	11749905_a_at	-1.2671008591692532
THBS1	11758842_at	-1.3086940851808855
MMP3	11723635_s_at	-1.3120089903927088
HBA1	11754267_x_at	-1.3737202770559622
HBA2	11754267_x_at	-1.3737202770559622
ADAMTS4	11730923_x_at	-1.3826353945553524
MMP10	11727906_at	-1.3892777291015683
ANGPT2	11742027_a_at	-1.4139222599142656
IL11	11727690_at	-1.4660569276311506
ANGPT2	11728245_a_at	-1.4743488751738774
COL10A1	11735218_at	-1.4850232233941014
IL6	11746463_a_at	-1.5464810534124442
ANGPT2	11742028_a_at	-1.575985957837398
CYR61	11715493_a_at	-1.5994089912951228
ESM1	11741353_a_at	-2.8092959502957973
ESM1	11729647_s_at	-3.924145631485568
