gene_symbol	ID	logFC
SYNPO2	11721602_a_at	-1.2356128374996258
PROM1	11754354_s_at	-1.23591702902832
PLN	11723644_a_at	-1.2510218112923601
CES1	11721638_s_at	-1.2530087341672496
CES1P1	11721638_s_at	-1.2530087341672496
MAGEA2	11731297_x_at	-1.2546602875251882
MAGEA2B	11731297_x_at	-1.2546602875251882
NMNAT2	11728253_a_at	-1.2712596160338698
REG4	11746772_a_at	-1.2770749760183904
ACTG2	11715793_a_at	-1.2778550408986575
FRAS1	11723177_at	-1.2811256667653321
DSG3	11728832_at	-1.2886235525451806
PHGDH	11728203_a_at	-1.297173000322247
PPBP	11743087_at	-1.310026859230593
ACTG2	11748016_a_at	-1.3163561812724325
NTS	11719684_a_at	-1.3183083218231513
ADGRG6	11729550_a_at	-1.3206132260652725
ADGRG6	11725190_a_at	-1.3260803986192466
UGT2B15	11741266_x_at	-1.3340018790842638
DSG3	11728833_at	-1.347438222431533
FREM2	11735084_s_at	-1.3798995318613574
WIF1	11742807_a_at	-1.3887395717764388
WNT11	11732464_a_at	-1.4044510598038176
SERPINA3	11716490_a_at	-1.4117994941697596
PLN	11723645_at	-1.433751707107489
DPEP1	11756343_a_at	-1.4444518154262846
SFTA2	11733543_at	-1.4534692306133383
DNAJC15	11743049_at	-1.46085336514263
SAMD5	11726174_at	-1.4741645155395098
CBS	11744835_s_at	-1.485696585051155
CBSL	11744835_s_at	-1.485696585051155
HBB	11715347_s_at	-1.496952883246414
APOA2	11753839_x_at	-1.5109722145188003
STMN2	11717826_x_at	-1.5116097132497675
HBB	11715348_x_at	-1.5149367930042343
IGFBP2	11722583_a_at	-1.5234433573764914
APOA2	11757667_x_at	-1.5303837610074364
WNT11	11763605_a_at	-1.5500166476212112
APOA2	11718034_a_at	-1.594181086958213
SCARA5	11727780_a_at	-1.6184508926561936
STMN2	11758790_a_at	-1.6221709729308236
ADGRG6	11725191_s_at	-1.6252909494726335
CBS	11744286_s_at	-1.634341443057206
CBSL	11744286_s_at	-1.634341443057206
MAGEA3	11726339_s_at	-1.659963452519019
MAGEA6	11726339_s_at	-1.659963452519019
XIST	11757857_s_at	-1.684466285746467
HBB	11753712_x_at	-1.725667314872781
TACSTD2	11717301_at	-1.7395084731030144
GRB14	11723586_a_at	-1.7525148092558562
XIST	11754194_s_at	-1.7916011982756626
HBA1	11754267_x_at	-1.817802753741593
HBA2	11754267_x_at	-1.817802753741593
HMGCS2	11720533_a_at	-1.933356983612283
SOX8	11721911_at	-1.9587142000591813
STMN2	11717825_a_at	-1.9702896610663534
KRT23	11744424_a_at	-2.1124133256592783
XIST	11757733_s_at	-2.1221772888196337
